review_key,year,usual_comparison_unit,primary_depth,interfaces_emphasized,evidence_granularity,full_text_basis
heimbach2025crafting,2025,Prediction workflow; hybrid/full surrogate,Ocean forecasting workflow and hybridization,Ocean and physics; robustness discussed,Review-level synthesis,"Secs. 1--3 distinguish state prediction, hybrid insertion, full surrogates, robustness and decision support."
hao2025oceanforecastreview,2025,"Forecast model, data, variable and horizon",Data-driven ocean forecasting methods and datasets,Ocean; shift and physics discussed,Model/table comparison,Full-text taxonomy and comparison tables organize deep-learning ocean forecasting.
li2026artificial,2026,Ocean phenomenon / state-variable forecast,"Ocean phenomena, physical drivers, timescales, and links to state-variable forecasting",Ocean and physics; event forecasting and end-user relevance,Phenomenon/task synthesis,"Review organizes ocean-phenomena forecasting by timescale and dominant physical driver, and discusses links to ocean-state-variable forecasting."
wang2025physics,2025,Physics-guided dynamical-system method,Mechanisms for integrating physical knowledge or physics-based modeling with deep learning,Physics and evolution across dynamical systems,Methodological taxonomy,Structured survey of physics-guided deep-learning methodologies for dynamical systems and their challenges and opportunities.
aubard2025sonarRobustness,2025,Sonar deep-learning or robotic-perception method,Sonar robustness and underwater perception,"Acoustic, shift and robotics",Method/task taxonomy,"Full-text robustness taxonomy centers perturbations, domain shift and sonar/robotic perception endpoints."
luo2026atmosocean,2026,Atmosphere--ocean AI task and system family,Coupled atmosphere--ocean AI opportunities,"Ocean, physics, robustness and trustworthiness",Task/system synthesis,"Full-text sections synthesize forecasting, hybrid modeling, challenges and trustworthy deployment."
gao2026uapinnreview,2026,PINN formulation / propagation problem,Physics-informed underwater propagation,Acoustic and physics; limitations discussed,Formulation/task taxonomy,"Full text compares governing equations, PINN variants, propagation tasks and limitations."
raine2026marine,2026,Marine-robotics AI task,"Perception, monitoring and deployment applications",Agency and robotics; ocean/acoustic context,Application/task synthesis,"Full text organizes perception, monitoring and deployment applications."
garwood2026multirobot,2026,Path planning / coordination,"Multi-robot oceanography, communication and de-risking",Ocean and agency; acoustics/shift discussed,Planning/coordination synthesis,"Secs. 2--5 organize planning, cooperation, communication and de-risking."
this_survey,2026,Evaluated observation-to-action configuration,Cross-interface evidence transfer and claim boundaries,"Ocean, acoustics, agency, shift and physics",Full-text configuration anchor + nearest unsupported claim + candidate-flow record,One named full-text anchor and claim boundary per configuration; event-level candidate flow.
