citation_key,evaluation_setting,variant,configuration_label,claim_endpoint,O_levels,C_levels,E_levels,A_levels,N_levels,physics_insertion,source_section,source_page,source_evidence,anchor_url,anchor_basis,verification_status,verified_on
ha2018world,S,,simulated world-model control,policy performance using an action-conditioned learned world model,O0,C0,E2,A2,N0,none,Sec. 2 Agent Model; Sec. 4.1 Experiment Setup; Table 2,HTML n.p. (stable named section),Peer-reviewed NeurIPS record used for the retained simulated world-model control configuration.,https://proceedings.neurips.cc/paper/2018/hash/2de5d16682c3c35007e4e92982f1a2ba-Abstract.html,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
hafner2023dreamerv3,S,,DreamerV3 control across domains,control performance across diverse simulated domains,O0,C0,E2,A2,N2,none,General performance; Methods—Benchmarks and Protocols; Fig. 4,published pp. 647–653 (section-located),Full-text methods and evaluation report imagined future scenarios for behavior learning and evaluation across more than 150 diverse tasks.,https://doi.org/10.1038/s41586-025-08744-2,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
raissi2019pinn,D,,PINN PDE solution,forward/inverse PDE solution error,O0,C1,E0,A0,N0,objective_or_projection,Sec. 2 Continuous Time Models; Sec. 2.1 Burgers' Equation,published pp. 686–707 (section-located),The source defines neural networks trained while respecting governing nonlinear PDE laws.,https://doi.org/10.1016/j.jcp.2018.10.045,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
bolton2019ocean,D,data-inference,deep-learning ocean data inference [data-inference],ocean-data inference accuracy,O0,C0,E0,A0,N0,none,Methods; Results—Ocean data inference and subsurface-flow reconstruction,published pp. 376–399 (section-located),The proof-of-concept uses degraded gridded high-resolution model data and a generic CNN; neither native irregular-support O2 nor a physics-aware C2 representation is required by the retained data-inference endpoint.,https://doi.org/10.1029/2018MS001472,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
bolton2019ocean,D,subgrid-parameterization,deep-learning ocean subgrid parameterization [subgrid-parameterization],learned ocean subgrid-parameterization behavior,O0,C1,E0,A0,N2,objective_or_projection,Methods; Results—Sub-grid parameterisation and physical constraint,published pp. 376–399 (section-located),"The subgrid forcing is predicted at the same time from coarse fields; the source also reports a globally momentum-conserving constrained variant and generalization across dynamical/forcing conditions, supporting C1 and N2 without requiring C2.",https://doi.org/10.1029/2018MS001472,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
fablet2021varda,D,,learned variational data assimilation,state reconstruction from noisy and irregular observations,O2,C1,E0,A0,N0,inference,Variational data assimilation formulation; End-to-end learning; Numerical experiments,HTML n.p. (stable named section),"Full-text formulation and experiments establish reconstruction from possibly noisy, irregularly sampled observations using learned variational models and solvers.",https://doi.org/10.1029/2021MS002572,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
fiorelli2006adaptive,F,,multi-AUV adaptive sampling field trial,cooperative adaptive sampling in sea trials,O3,C0,E2,A3,N0,action_constraint,Sec. II Cooperative control; Sea-trial implementation and results,published pp. 935–948 (section-located),"The paper reports cooperative multi-vehicle control, adaptive sampling, and Monterey Bay sea trials; the accessible full text identifies cooperative control in Sec. II and sampling-design directions in Sec. V.",https://doi.org/10.1109/JOE.2006.880429,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
leonard2010gliderfleet,F,,glider-fleet adaptive sampling field experiment,coordinated glider-fleet adaptive sampling in a field experiment,O3,C0,E2,A3,N0,action_constraint,Coordinated control and adaptive sampling; Field experiment results,published pp. 718–740 (section-located),The cited full-text method and evaluation identify coordinated control of a glider fleet in an adaptive ocean sampling field experiment.,https://doi.org/10.1002/rob.20366,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
chattopadhyay2024oceannet,D,,OceanNet regional ocean emulation,regional sea-surface-height emulation and seasonal feature prediction,O0,C2,E1,A0,N2,representation,Results—OceanNet formulation; Regional forecast experiments,HTML n.p. (stable named section),"Full-text methods and evaluation report a Fourier neural operator, predictor-evaluate-corrector integration, spectral regularization, and long-horizon regional SSH emulation.",https://doi.org/10.1038/s41598-024-72145-0,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
wang2024xihe,D,,XiHe global ocean forecast,global eddy-resolving ocean forecast skill,O0,C2,E1,A0,N2,representation,Sec. III Dataset; Sec. IV Methodology; Sec. V Experimental Evaluation,HTML n.p. (stable named section),"Full-text methods and evaluation report a 1/12-degree global forecast model trained on GLORYS12, ocean-specific structure, and verification against satellite, in-situ, and operational forecast products.",https://doi.org/10.48550/arXiv.2402.02995,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
cui2025wenhai,D,,WenHai eddying-ocean forecast,eddy-resolving ocean forecast skill,O0,C2,E1,A0,N2,representation,Results—WenHai model; Forecast performance; Methods,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: eddy-resolving ocean forecast skill.,https://doi.org/10.1038/s41467-025-57389-2,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
niu2026fuxiocean,D,,FuXi-Ocean global forecast,sub-daily eddy-resolving global ocean forecast skill,O0,C2,E1,A0,N2,representation,Results—FuXi-Ocean design and forecast evaluation; Methods,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: sub-daily eddy-resolving global ocean forecast skill.,https://doi.org/10.1038/s41612-026-01444-2,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
jia2025oceanforecastbench,D,,OceanForecastBench benchmark,benchmark forecast skill against satellite and in-situ verification,O0,C0,E1,A0,N2,none,Benchmark construction; Evaluation protocol; Experiments,HTML n.p. (stable named section),"The abstract defines a global ocean forecasting benchmark with GLORYS training data, satellite/in-situ verification, six baseline models, and multi-perspective evaluation.",https://doi.org/10.48550/arXiv.2511.18732,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
elaouni2025oceanbench,D,,OceanBench benchmark,standardized global ocean forecasting benchmark,O0,C0,E1,A0,N2,none,Dataset and benchmark design; Evaluation protocol; Experiments,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: standardized global ocean forecasting benchmark.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0d1635dfa43efe7477f9b6dab3168fd8-Abstract-Datasets_and_Benchmarks_Track.html,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
guo2025orcadl,D,,ORCA-DL seasonal-to-decadal ocean model,seasonal-to-decadal global ocean simulation and extreme-event skill,O0,C2,E1,A0,N2,representation,Results—ORCA-DL formulation and simulations; Materials and Methods,HTML n.p. (stable named section),"Full-text methods and evaluation report a data-driven 3-D ocean model, stable decadal emulation, and evaluation on climate variability and extreme events.",https://doi.org/10.1126/sciadv.adu2488,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
kim2026kistocean,D,,KIST-Ocean forced-ocean simulation,global ocean dynamics under atmospheric forcing,O0,C2,E1,A0,N2,representation,Results—Forced-ocean response experiments; Materials and Methods,HTML n.p. (stable named section),"The source reports a global 3-D data-driven ocean model evaluated for responses to atmospheric forcing, including wave propagation and wind-stress-driven vertical motion.",https://doi.org/10.1126/sciadv.aed1225,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
eustice2008van,F,,visually augmented AUV navigation,AUV navigation using visual observations,O2,C1,E0,A0,N0,inference,Visual navigation formulation; Experimental results,published pp. 103–122 (section-located),"The evaluated VAN endpoint is multisensor state estimation/navigation: camera-derived relative-pose constraints are fused into the navigation inference, while no executed closed-loop control benefit is required for the retained claim.",https://doi.org/10.1109/JOE.2008.923547,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
lu2021deeponet,D,,DeepONet operator learning,operator-learning PDE solution accuracy,O0,C2,E0,A0,N0,representation,DeepONet formulation; Numerical experiments; Methods,published pp. 218–229 (section-located),"DeepONet explicitly represents operator inputs and output-domain coordinates and is evaluated on differential-equation operators; this supports a physically described domain plus operator-aware representation, not online solver coupling.",https://doi.org/10.1038/s42256-021-00302-5,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
li2021fno,D,,Fourier neural operator PDE evaluation,parametric PDE solution-operator accuracy including super-resolution,O0,C2,E0,A0,N2,representation,Sec. 3 Fourier neural operator; Sec. 5 Experiments,HTML n.p. (stable named section),"Full-text methods and evaluation report Fourier-space operator parameterization and experiments on Burgers, Darcy, and Navier-Stokes, including zero-shot super-resolution.",https://openreview.net/forum?id=c8P9NQVtmnO,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
kovachki2023neuraloperator,D,,neural-operator PDE evaluation,neural-operator approximation across PDE problems,O0,C2,E0,A0,N0,representation,Neural-operator formulation; Approximation and discretization; Experiments,published pp. 1–97 (section-located),"The neural-operator formulation maps between function spaces, is discretization invariant, and is evaluated on PDE solution operators; C0 and C2 are explicit without implying C1 or C3.",https://jmlr.org/papers/v24/21-1524.html,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
pathak2022fourcastnet,D,,FourCastNet forecast,global high-resolution weather forecast skill,O0,C2,E1,A0,N2,representation,Model architecture and training; Global forecast experiments,HTML n.p. (stable named section),Full-text methods and evaluation report global 0.25-degree forecasting with adaptive Fourier neural operators and severe-event evaluation.,https://doi.org/10.48550/arXiv.2202.11214,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
bi2023pangu,D,,Pangu-Weather forecast,medium-range global weather forecast skill,O0,C2,E1,A0,N2,representation,Pangu-Weather architecture; Global forecast performance; Methods,published pp. 533–538 (section-located),The cited full-text method and evaluation report the retained endpoint: medium-range global weather forecast skill.,https://doi.org/10.1038/s41586-023-06185-3,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
lam2023graphcast,D,,GraphCast forecast,medium-range global weather forecast skill including severe events,O0,C2,E1,A0,N2,representation,GraphCast model; Evaluation; Materials and Methods,published pp. 1416–1421 (section-located),"Full-text methods and evaluation report 10-day global forecasts and verification on tropical cyclones, atmospheric rivers, and extreme temperatures.",https://doi.org/10.1126/science.adi2336,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
kochkov2024neuralgcm,D,,NeuralGCM hybrid forecast/simulation,"weather, ensemble-weather, and climate simulation skill",O0,C3,E1,A0,N1;N2,solver_coupling,NeuralGCM formulation; Forecast and climate-simulation results; Methods,published pp. 1060–1066 (section-located),"The source reports a differentiable atmospheric dynamics solver coupled with ML components and evaluates deterministic, ensemble-weather, and climate simulations; CRPS and spread-skill diagnostics support N1 in addition to named-regime N2 tests.",https://doi.org/10.1038/s41586-024-07744-y,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
bodnar2025aurora,D,,Aurora Earth-system forecasting,multi-domain Earth-system forecasting after foundation-model adaptation,O1,C2,E1,A0,N2,representation,Aurora architecture; Downstream evaluations; Methods,published pp. 1180–1187 (section-located),Full-text methods and evaluation report pretraining on diverse Earth-system data and downstream evaluation on several forecasting domains.,https://doi.org/10.1038/s41586-025-09005-y,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
nguyen2023climax,D,,ClimaX foundation-model evaluation,weather/climate downstream task performance across heterogeneous variables and scales,O1,C2,E1,A0,N2,representation,Sec. 3 ClimaX; Sec. 4 Experiments,published pp. 25904–25938 (section-located),"Full-text methods and evaluation report heterogeneous datasets, multiple physical variables and spatiotemporal scales, and fine-tuning to tasks including unseen scales.",https://proceedings.mlr.press/v202/nguyen23a.html,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
evensen2003enkf,D,,EnKF state estimation,ensemble data-assimilation state estimation,O2,C0,E0,A0,N1,none,Ensemble Kalman filter formulation and implementation; Applications,published pp. 343–367 (section-located),"The paper presents the ensemble Kalman filter formulation and implementation, where an ensemble represents state uncertainty during data assimilation.",https://doi.org/10.1007/s10236-003-0036-9,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
forget2015ecco,D,,ECCO global state estimate,global ocean state estimation constrained by observations and dynamics,O2,C1,E0,A0,N1,inference,Sec. 2 Framework and data; Sec. 3 Estimation; Results and validation,published pp. 3071–3104 (section-located),The source describes an integrated nonlinear inverse-modeling framework for global ocean state estimation.,https://doi.org/10.5194/gmd-8-3071-2015,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
lellouche2021glorys,D,,GLORYS12 reanalysis,global ocean and sea-ice reanalysis,O2,C0,E0,A0,N0,none,Materials and Methods—System and observations; Results—Quality assessment,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: global ocean and sea-ice reanalysis.,https://doi.org/10.3389/feart.2021.698876,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
good2013en4,D,,EN4 profile analysis,quality-controlled profile analysis with uncertainty estimates,O2,C0,E0,A0,N1,none,Sec. 2 Profile data; Sec. 3 Analysis method; Uncertainty evaluation,published pp. 6704–6716 (section-located),"Full-text methods and evaluation report quality-controlled temperature/salinity profiles, monthly objective analyses, and uncertainty estimates.",https://doi.org/10.1002/2013JC009067,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
dheeshjith2025samudra,D,,Samudra climate emulator,century-scale global ocean climate emulation,O0,C2,E1,A0,N2,representation,Model and forcing formulation; Long-term simulation results; Methods,HTML n.p. (stable named section),Full-text methods and evaluation report a global ocean emulator stable for centuries and explicitly identifies a trend-forcing limitation.,https://doi.org/10.1029/2024GL114318,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
elaouni2025glonet,D,,GLONET global forecast,end-to-end global ocean forecast skill,O0,C2,E1,A0,N2,representation,Model architecture and training; Global forecast results,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: end-to-end global ocean forecast skill.,https://doi.org/10.1029/2025JH000686,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
holmberg2025seacast,D,,SeaCast regional forecast,Mediterranean Sea forecast skill,O0,C2,E1,A0,N2,representation,Model and data; Regional forecast evaluation; Methods,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: Mediterranean Sea forecast skill.,https://doi.org/10.1038/s41598-025-31177-w,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
gao2026neuralom,D,,NeuralOM ocean simulation,subseasonal-to-seasonal ocean simulation skill,O0,C2,E1,A0,N2,representation,NeuralOM method; Ocean-simulation experiments,published pp. 14756–14764 (section-located),The cited full-text method and evaluation report the retained endpoint: subseasonal-to-seasonal ocean simulation skill.,https://doi.org/10.1609/aaai.v40i17.38495,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
holmberg2026njord,D,,Njord probabilistic ocean forecast,probabilistic ensemble ocean forecast skill,O0,C2,E1,A0,N1;N2,representation,Probabilistic model and training; Forecast evaluation,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: probabilistic ensemble ocean forecast skill.,https://doi.org/10.48550/arXiv.2605.15470,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
huang2026fuxions,D,,FuXi-ENS ensemble ocean prediction,global ensemble-ocean predictive distribution,O0,C2,E1,A0,N1;N2,representation,Ensemble construction; Probabilistic forecast evaluation,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: global ensemble-ocean predictive distribution.,https://doi.org/10.48550/arXiv.2603.19591,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
zhang2025oceancastnet,D,,OceanCastNet wave forecast,ocean-wave forecast skill,O0,C2,E1,A0,N2,representation,OceanCastNet method; Wave-forecast experiments and ablations,HTML n.p. (stable named section),The cited full-text method and evaluation report the retained endpoint: ocean-wave forecast skill.,https://doi.org/10.1029/2025MS005285,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
ross2023subgridbenchmark,D,,offline subgrid-parameterization benchmark,offline parameterization error/diagnostics,O0,C1;C2,E1,A0,N2,objective_or_projection;representation,Methods—parameterizations; Offline evaluation,HTML n.p. (stable named section),"The benchmark explicitly compares physics-constrained neural networks and equation-discovery parameterizations with spatial derivatives, supporting both constrained and structure-aware mechanisms offline.",https://doi.org/10.1029/2022MS003258,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
ross2023subgridbenchmark,S,,coupled idealized-model parameterization benchmark,coupled simulation behavior with learned subgrid parameterization,O0,C1;C2;C3,E1,A0,N2,objective_or_projection;representation;solver_coupling,Methods—parameterizations; Coupled-model evaluation,HTML n.p. (stable named section),The benchmark explicitly compares physics-constrained neural networks and equation-discovery parameterizations and implements them online in the idealized ocean model.,https://doi.org/10.1029/2022MS003258,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
guillaumin2021stochastic,D,,offline stochastic momentum-forcing fit,offline stochastic momentum-forcing parameterization,O0,C0,E1,A0,N1;N2,none,Stochastic CNN and NLL objective; Offline evaluation,HTML n.p. (stable named section),"The CNN predicts a Gaussian mean and standard deviation and is trained with negative log likelihood, a proper probabilistic score, while testing geographic/climate transfer. The generic CNN is not treated as a physics-specific representation.",https://doi.org/10.1029/2021MS002534,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
guillaumin2021stochastic,S,,coupled stochastic momentum-forcing simulation,coupled simulation with learned stochastic forcing,O0,C3,E1,A0,N1;N2,solver_coupling,Stochastic CNN and NLL objective; Online model simulations,HTML n.p. (stable named section),"The stochastic CNN parameterization is implemented online in an idealized ocean model after probabilistic NLL training and transfer tests; solver coupling is explicit, but no physics-specific neural representation is inferred.",https://doi.org/10.1029/2021MS002534,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
frezat2021invariance,S,,invariant subgrid-flux model,subgrid scalar-flux modeling under physical invariance,O0,C1;C2,E0,A0,N2,objective_or_projection;representation,Invariant architecture and loss; A-priori and a-posteriori results,HTML n.p. (stable named section),The cited full-text method and evaluation focus on explicitly enforcing physical invariance in a neural subgrid model.,https://doi.org/10.1103/PhysRevFluids.6.024607,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
perezhogin2024stable,D,,offline scale-aware parameterization test,offline parameterization skill and stability diagnostics,O0,C2,E1,A0,N2,representation,Scale-aware parameterization; Offline evaluation,HTML n.p. (stable named section),The interpretable equation-discovery parameterization uses velocity-gradient-tensor structure and scale-aware physical form. Numerical filtering is treated as implementation stabilization rather than a separate C1 learning constraint.,https://doi.org/10.1029/2023MS004104,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
perezhogin2024stable,S,,coupled stable mesoscale parameterization,coupled-model stability with learned mesoscale parameterization,O0,C2;C3,E1,A0,N2,representation;solver_coupling,Scale-aware parameterization; MOM6 coupled simulations,HTML n.p. (stable named section),"The velocity-gradient-based, scale-aware parameterization is implemented in MOM6 and tested across two idealized regimes; C2 and C3 are explicit, while numerical filtering is not separately coded as C1.",https://doi.org/10.1029/2023MS004104,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
brajard2020daml,D,state-reconstruction,DA+ML sparse-state reconstruction [state-reconstruction],state reconstruction from sparse/noisy observations,O2,C0,E0,A0,N2,none,DA/ML method; Sparse-state reconstruction experiments,HTML n.p. (stable named section),The title explicitly identifies sparse/noisy observations and a DA+ML case study; the reconstruction and learned-dynamics endpoints are split into separate configurations.,https://doi.org/10.1016/j.jocs.2020.101171,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
brajard2020daml,D,learned-dynamics,DA+ML learned-dynamics emulation [learned-dynamics],emulation of a dynamical model learned from assimilated observations,O2,C2,E1,A0,N2,representation,Method—DA/ML cycle; Experimental setup; Reconstruction and forecast results,HTML n.p. (stable named section),The title explicitly identifies sparse/noisy observations and a DA+ML case study; the reconstruction and learned-dynamics endpoints are split into separate configurations.,https://doi.org/10.1016/j.jocs.2020.101171,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
hollinger2014sampling,S,,sampling-based robotic information gathering,robotic information-gathering objective under planned sensing actions,O3,C0,E2,A1,N0,action_constraint,Information-gathering objective and constraints; Planning experiments,published pp. 1271–1287 (section-located),The source optimizes informative trajectories under explicit fuel/energy/time budgets and motion constraints; the retained endpoint is planning/decision support rather than an executed adaptive sensing loop.,https://doi.org/10.1177/0278364914533443,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
cieslak2019stonefish,S,,Stonefish marine-robotics simulator,marine-robotics simulation fidelity and integration,O0,C2,E2,A1,N0,representation,Simulator architecture and physical models; Validation scenarios,published pp. 1–6 (section-located),The cited full-text method and evaluation report the retained endpoint: marine-robotics simulation fidelity and integration.,https://doi.org/10.1109/OCEANSE.2019.8867434,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
potokar2022holoocean,S,,HoloOcean simulator,underwater-robotics simulation for perception/control evaluation,O0,C2,E2,A1,N0,representation,Simulator design and sensor models; Benchmark experiments,published pp. 3040–3046 (section-located),The cited full-text method and evaluation report the retained endpoint: underwater-robotics simulation for perception/control evaluation.,https://doi.org/10.1109/ICRA46639.2022.9812353,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
grimaldi2025stonefish,S,,Stonefish ML simulation,marine-robotics ML simulation support,O0,C2,E2,A1,N0,representation,Simulation framework; Machine-learning evaluation scenarios,published pp. 13605–13611 (section-located),Version of record at ICRA 2025 replaces the arXiv preprint; simulator capability remains distinct from field-readiness evidence.,https://doi.org/10.1109/ICRA55743.2025.11127421,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
lakshminarayanan2017ensembles,D,,deep-ensemble uncertainty evaluation,predictive uncertainty calibration/quality under in- and out-of-distribution tests,O0,C0,E0,A0,N1;N2,none,Sec. 2 Deep ensembles; Sec. 3 Experiments; OOD results,published pp. 6402–6413 (section-located),"The source reports well-calibrated predictive uncertainty and separately evaluates behavior on known versus unknown distributions, supporting both N1 and N2.",https://papers.nips.cc/paper/7219-simple-and-scalable-predictive-uncertainty-estimation-using-deep-ensembles,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
ovadia2019uncertainty,D,,uncertainty-under-shift evaluation,predictive uncertainty under dataset shift,O0,C0,E0,A0,N1;N2,none,Sec. 2 Experimental setup; Sec. 3 Results under dataset shift,published pp. 13991–14002 (section-located),The title/abstract explicitly evaluates predictive uncertainty under dataset shift.,https://proceedings.neurips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
